U U U U U U U U U U U U U U 0 0 0 U U U U U U U U U U U U U U U U U U U
U 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 U
U 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 U
U 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 U
U 0 0 0 0 0 0 0 0 0 0 U Y U U Y Y Y U U U Y U Y 0 0 0 0 Y 0 0 0 0 0 0 U
U 0 0 0 0 0 0 0 0 0 Y 0 0 0 0 0 0 0 0 0 0 0 0 0 U 0 0 0 U 0 0 0 0 0 0 U
U 0 0 0 0 0 0 0 0 Y 0 0 0 0 0 0 0 0 0 0 0 0 0 0 Y 0 0 0 U 0 0 0 0 0 0 U
U 0 0 0 0 0 0 0 U 0 0 0 0 Y U U Y U U Y U 0 0 0 U 0 0 0 Y 0 0 0 0 0 0 0
U 0 0 0 0 0 0 Y 0 0 0 0 U 0 0 0 0 0 0 0 Y 0 0 0 Y 0 0 0 U 0 0 0 0 0 0 0
U 0 0 0 0 0 0 U 0 0 0 Y 0 0 0 0 0 0 0 0 U 0 0 0 U 0 0 0 U 0 0 0 0 0 0 0
U 0 0 0 0 0 0 U 0 0 0 Y 0 0 0 U Y Y 0 0 U 0 0 0 U 0 0 0 U 0 0 0 0 0 0 0
U 0 0 0 0 0 0 Y 0 0 0 U 0 0 Y 0 0 0 0 0 Y 0 0 0 U 0 0 0 Y 0 0 0 0 0 0 U
U 0 0 0 0 0 0 U 0 0 0 U 0 0 U 0 0 0 0 0 U 0 0 0 Y 0 0 0 U 0 0 0 0 0 0 U
U 0 0 0 0 0 0 U 0 0 0 U 0 0 0 U Y U Y U Y 0 0 0 U 0 0 0 Y 0 0 0 0 0 0 U
U 0 0 0 0 0 0 Y 0 0 0 0 U 0 0 0 0 0 0 0 0 0 0 0 U 0 0 0 U 0 0 0 0 0 0 U
U 0 0 0 0 0 0 U 0 0 0 0 Y 0 0 0 0 0 0 0 0 0 0 Y 0 0 0 0 U 0 0 0 0 0 0 U
U 0 0 0 0 0 0 U 0 0 0 0 0 U U U Y U Y U Y U U 0 0 0 0 0 U 0 0 0 0 0 0 U
U 0 0 0 0 0 0 U Y 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 Y 0 0 0 0 0 0 U
U 0 0 0 0 0 0 0 0 U 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 Y 0 0 0 0 0 0 0 U
U 0 0 0 0 0 0 0 0 0 Y U U U Y Y Y Y U U Y U U U Y Y U 0 0 0 0 0 0 0 0 U
U 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 U
U 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 U
U 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 U
U U U U U U U U U U U U U U U U U U U U U U U U U U U U U U U U U U U U
